well_id,fold
000d7d20,2
00bbac68,4
00e12e8b,2
015fe0d2,2
01869cd4,2
01982c1d,0
028d7b28,2
02e7fe5a,2
0390d174,0
03a935ae,4
044af7d1,0
0498acab,4
052d64df,4
05948241,3
059c8f24,3
05a0ee4d,4
060ab2b8,1
06df5958,1
071d7b45,3
0849b4e2,0
084d66f9,3
08fecf00,0
09053135,4
09441b8d,1
0955cd6c,0
09ec2ca9,0
0a57a29c,1
0bbf5e67,1
0be01c24,0
0c1b160c,4
0d99f8e4,1
0dc5e64d,0
0dc835f3,0
0dd99dc5,2
0e5e560d,0
109d9d70,4
10a1281a,1
10b89021,2
10be2420,3
113011eb,2
1131525f,1
11d0f5ac,1
12203f2a,0
122bd617,3
125be846,4
1285a37b,4
1295a25b,2
12f0cd90,0
137d1e44,4
13ce113d,1
13f598d9,2
14a53cb3,1
14ab73fb,1
14ad5efb,0
14fee784,0
153552f5,4
1550491d,0
155887bb,4
1590af81,4
15e154a1,3
1619e2ca,4
16e4a047,4
173ed841,4
1770d7c6,2
177622d7,4
18d24f7b,1
19137a89,0
1944513c,0
197f8a5a,1
19871e7f,2
198a5607,4
19fb4f7b,4
1a518997,1
1a68190b,1
1a730ac2,4
1aaf1da0,4
1b08ed48,2
1b1c5372,0
1b1eba53,4
1b6ba517,1
1b82b665,0
1bcb2fcf,4
1beca81d,4
1d3fbf02,3
1d78281a,1
1e30dedf,0
1e5e3573,0
1f9afacb,4
1fdbba44,1
1fee2b62,2
20096916,4
200d233d,4
201661b5,0
203721ab,1
20402d71,1
2043abc5,4
204cc64b,4
206b6193,4
2075c696,1
22c5f93f,4
230eaaa3,4
2364716c,3
23b9beb0,2
24d8997e,1
25050f63,1
25939962,4
25fd32b3,1
261785ee,4
264feceb,1
26623a50,0
26d3a96a,4
272abef3,4
27300fd5,4
276b012a,2
27c3155b,4
27ebb9b9,1
283269ac,4
28473855,3
28f4eda9,1
29b24409,1
29de15c8,0
2ab29395,4
2ac7cb6b,0
2acc78d4,0
2b034622,1
2b06ad65,0
2b547943,4
2be5c96a,4
2bff06cf,3
2c0c4a4e,3
2cee0cba,1
2d0c268a,0
2d179ded,1
2d196986,1
2d2d0c6b,1
2d35f86d,4
2d9f6cb9,2
2ddad940,2
2e29e833,0
2e43c2ea,1
2e63d9de,4
2ee0235b,1
2f19d536,2
2f8e53c3,0
2fa01aa6,4
2fd68f7b,0
2fe023be,4
30d75030,0
310c71a5,1
32fe84c9,2
33c40295,4
3407f5bf,3
3417285d,2
347242c8,0
353e5502,1
357c12f9,3
3584a6eb,4
35b30c7f,3
35b3ef6a,3
367456ce,0
368131f9,4
368fe682,1
3690a146,1
37344c2a,1
373ef48b,1
374be387,1
37d36812,4
38991fd4,3
389ae58f,2
3932faa6,1
398dce4b,3
39b51819,3
3a0af893,4
3a223519,1
3a7dd95d,1
3a824aa7,4
3a86fe8d,4
3aaa2b30,0
3ac16ad0,1
3b21ea64,2
3bbe1f5d,1
3bfee975,4
3c3dbcbc,4
3d96d897,1
3df4b19e,0
3e011332,4
3e678ea7,4
3ef6372a,4
3ef98781,0
3f603129,0
404c4384,3
4121c517,0
41fb0192,2
42669188,2
42c538a1,1
43b06c70,4
43c7f85a,1
43e16325,3
44441e54,0
445af6c2,1
4463446c,3
