well_id,fold
000d7d20,2
00bbac68,4
00e12e8b,0
015fe0d2,2
01869cd4,3
01982c1d,2
028d7b28,0
02e7fe5a,3
0390d174,4
03a935ae,1
044af7d1,3
0498acab,2
052d64df,0
05948241,3
059c8f24,2
05a0ee4d,3
060ab2b8,3
06df5958,0
071d7b45,1
0849b4e2,1
084d66f9,0
08fecf00,1
09053135,4
09441b8d,4
0955cd6c,2
09ec2ca9,0
0a57a29c,0
0bbf5e67,0
0be01c24,1
0c1b160c,4
0d99f8e4,1
0dc5e64d,0
0dc835f3,0
0dd99dc5,4
0e5e560d,4
109d9d70,4
10a1281a,1
10b89021,3
10be2420,0
113011eb,2
1131525f,0
11d0f5ac,4
12203f2a,3
122bd617,0
125be846,4
1285a37b,1
1295a25b,4
12f0cd90,0
137d1e44,0
13ce113d,2
13f598d9,1
14a53cb3,1
14ab73fb,4
14ad5efb,0
14fee784,2
153552f5,3
1550491d,3
155887bb,3
1590af81,2
15e154a1,1
1619e2ca,2
16e4a047,1
173ed841,2
1770d7c6,2
177622d7,4
18d24f7b,3
19137a89,1
1944513c,0
197f8a5a,1
19871e7f,2
198a5607,4
19fb4f7b,4
1a518997,4
1a68190b,0
1a730ac2,0
1aaf1da0,3
1b08ed48,2
1b1c5372,4
1b1eba53,3
1b6ba517,4
1b82b665,4
1bcb2fcf,2
1beca81d,0
1d3fbf02,1
1d78281a,3
1e30dedf,4
1e5e3573,4
1f9afacb,0
1fdbba44,4
1fee2b62,4
20096916,0
200d233d,4
201661b5,3
203721ab,0
20402d71,1
2043abc5,0
204cc64b,3
206b6193,0
2075c696,0
22c5f93f,3
230eaaa3,3
2364716c,3
23b9beb0,2
24d8997e,0
25050f63,3
25939962,2
25fd32b3,3
261785ee,1
264feceb,3
26623a50,2
26d3a96a,1
272abef3,2
27300fd5,1
276b012a,2
27c3155b,1
27ebb9b9,4
283269ac,4
28473855,4
28f4eda9,4
29b24409,4
29de15c8,3
2ab29395,0
2ac7cb6b,2
2acc78d4,0
2b034622,3
2b06ad65,1
2b547943,2
2be5c96a,3
2bff06cf,4
2c0c4a4e,1
2cee0cba,4
2d0c268a,2
2d179ded,0
2d196986,0
2d2d0c6b,0
2d35f86d,1
2d9f6cb9,3
2ddad940,0
2e29e833,3
2e43c2ea,2
2e63d9de,0
2ee0235b,3
2f19d536,4
2f8e53c3,1
2fa01aa6,0
2fd68f7b,0
2fe023be,3
30d75030,0
310c71a5,2
32fe84c9,4
33c40295,1
3407f5bf,2
3417285d,3
347242c8,4
353e5502,3
357c12f9,2
3584a6eb,3
35b30c7f,4
35b3ef6a,1
367456ce,2
368131f9,4
368fe682,0
3690a146,4
37344c2a,1
373ef48b,3
374be387,3
37d36812,0
38991fd4,4
389ae58f,2
3932faa6,2
398dce4b,4
39b51819,2
3a0af893,3
3a223519,1
3a7dd95d,1
3a824aa7,4
3a86fe8d,1
3aaa2b30,2
3ac16ad0,2
3b21ea64,3
3bbe1f5d,0
3bfee975,0
3c3dbcbc,2
3d96d897,3
3df4b19e,2
3e011332,1
3e678ea7,1
3ef6372a,0
3ef98781,4
3f603129,3
404c4384,4
4121c517,1
41fb0192,1
42669188,0
42c538a1,2
43b06c70,0
43c7f85a,4
43e16325,1
44441e54,1
445af6c2,4
4463446c,1
