well_id,fold
000d7d20,0
00bbac68,2
00e12e8b,4
015fe0d2,2
01869cd4,0
01982c1d,4
028d7b28,4
02e7fe5a,2
0390d174,1
03a935ae,4
044af7d1,4
0498acab,2
052d64df,0
05948241,2
059c8f24,3
05a0ee4d,1
060ab2b8,3
06df5958,3
071d7b45,1
0849b4e2,4
084d66f9,3
08fecf00,1
09053135,3
09441b8d,2
0955cd6c,1
09ec2ca9,0
0a57a29c,2
0bbf5e67,0
0be01c24,1
0c1b160c,0
0d99f8e4,1
0dc5e64d,3
0dc835f3,0
0dd99dc5,2
0e5e560d,1
109d9d70,2
10a1281a,1
10b89021,3
10be2420,4
113011eb,3
1131525f,3
11d0f5ac,1
12203f2a,3
122bd617,4
125be846,1
1285a37b,3
1295a25b,0
12f0cd90,0
137d1e44,4
13ce113d,4
13f598d9,4
14a53cb3,3
14ab73fb,1
14ad5efb,2
14fee784,3
153552f5,1
1550491d,0
155887bb,2
1590af81,4
15e154a1,1
1619e2ca,0
16e4a047,3
173ed841,0
1770d7c6,1
177622d7,2
18d24f7b,1
19137a89,0
1944513c,2
197f8a5a,4
19871e7f,2
198a5607,4
19fb4f7b,1
1a518997,2
1a68190b,3
1a730ac2,3
1aaf1da0,2
1b08ed48,3
1b1c5372,0
1b1eba53,2
1b6ba517,1
1b82b665,1
1bcb2fcf,0
1beca81d,2
1d3fbf02,4
1d78281a,1
1e30dedf,4
1e5e3573,4
1f9afacb,1
1fdbba44,2
1fee2b62,0
20096916,4
200d233d,0
201661b5,0
203721ab,3
20402d71,3
2043abc5,0
204cc64b,3
206b6193,3
2075c696,1
22c5f93f,1
230eaaa3,4
2364716c,4
23b9beb0,4
24d8997e,2
25050f63,4
25939962,3
25fd32b3,2
261785ee,3
264feceb,1
26623a50,2
26d3a96a,4
272abef3,0
27300fd5,0
276b012a,2
27c3155b,3
27ebb9b9,1
283269ac,3
28473855,3
28f4eda9,0
29b24409,2
29de15c8,3
2ab29395,2
2ac7cb6b,3
2acc78d4,0
2b034622,0
2b06ad65,3
2b547943,2
2be5c96a,1
2bff06cf,3
2c0c4a4e,1
2cee0cba,2
2d0c268a,3
2d179ded,0
2d196986,4
2d2d0c6b,1
2d35f86d,3
2d9f6cb9,1
2ddad940,4
2e29e833,1
2e43c2ea,0
2e63d9de,4
2ee0235b,3
2f19d536,1
2f8e53c3,2
2fa01aa6,0
2fd68f7b,4
2fe023be,3
30d75030,1
310c71a5,0
32fe84c9,4
33c40295,0
3407f5bf,2
3417285d,1
347242c8,0
353e5502,1
357c12f9,2
3584a6eb,4
35b30c7f,0
35b3ef6a,2
367456ce,2
368131f9,4
368fe682,4
3690a146,1
37344c2a,1
373ef48b,2
374be387,2
37d36812,1
38991fd4,2
389ae58f,0
3932faa6,2
398dce4b,4
39b51819,1
3a0af893,1
3a223519,1
3a7dd95d,1
3a824aa7,3
3a86fe8d,1
3aaa2b30,1
3ac16ad0,4
3b21ea64,1
3bbe1f5d,0
3bfee975,2
3c3dbcbc,1
3d96d897,1
3df4b19e,1
3e011332,1
3e678ea7,2
3ef6372a,0
3ef98781,4
3f603129,0
404c4384,4
4121c517,0
41fb0192,2
42669188,1
42c538a1,0
43b06c70,0
43c7f85a,3
43e16325,2
44441e54,4
445af6c2,3
4463446c,3
44a94013,4
45fb3e21,1
460f859e,3
4630ab92,4
463c38f2,4
4654e7de,4
466fc788,4
46a301e9,1
46a7190b,2
46d24a09,1
46d41ff6,0
46dfcfca,4
47222616,0
47ee27ab,3
481de5fc,0
48c1f673,2
4936af16,3
493b5b31,3
49dbc14c,4
4a035ec2,2
4a335117,0
4a8ecc0b,0
4b462989,0
4b831d20,4
4c2208f5,3
4c3168cf,2
4c3df468,3
4caa7289,3
4cd1ac61,3
4cecf7b3,2
4ddde4c1,2
4e050c92,2
4ed93db6,1
4f3eb9e9,4
4f4ac5ce,1
4f4afcc6,1
4f69febf,0
4fbe9c06,4
504c8b08,0
511e1db0,1
512943b2,2
5138a660,4
516088b7,3
521a7819,3
5254b6db,2
529e88ca,2
52f1e77a,1
5305524b,4
53134831,2
5397ceb1,0
53f23031,1
543198e8,3
54753541,3
54a7e3c2,0
5542c301,3
5567d551,3
55efee7f,1
5663b2b7,4
5693dde2,2
56b00794,2
57796579,3
577eec7c,3
57f05c51,1
58850d2c,2
58fa8486,3
591cc951,0
593876b6,3
59f8b2e8,1
5a1a8fd8,1
5a5269a9,1
5a5d1982,2
5a63b5d1,0
5aa03df7,0
5aa403d0,0
5aef5c6c,0
5b7b6324,2
5bd25f59,2
5beded95,3
5cb483ac,4
5cdd8dbc,4
5d11dfb5,2
5d7198fd,3
5def1ce5,2
5eae34a8,3
5f4d2a52,3
5f6756c5,4
5f75f796,0
5fb1c15f,0
5fffa282,1
60e37807,3
61f27424,2
62569ae3,0
62a6f539,4
633774dc,0
63559d57,0
647f2a41,1
65156b96,4
653612bc,4
656a067b,0
65a5466a,2
660d9546,3
6767c111,1
67847288,4
67a8da4a,3
684a6fc1,3
698930d1,1
699ea575,3
69c1bdad,0
69e41fa6,4
6a0ff78e,4
6a8fa194,1
6ae68655,1
6d1d74e1,4
6d590e26,3
6d6d93af,1
6dbe4b60,1
6e6d122c,1
6e9ccd38,2
6ea22614,4
6ede926a,2
708caea9,0
70925e23,3
70e1788b,1
71642c7d,2
71ccf778,4
7224331b,0
722cf0d8,0
7256229b,0
726f3dc2,4
7271dd80,2
727a3a10,4
729665c0,1
729e9750,0
729f4217,2
72dd8501,4
73348914,2
739a914f,3
73b1447d,0
74b6186b,2
75c20ec7,0
75cd5f11,1
75d20a82,2
76201745,3
764072a5,1
77b0d905,3
77e4821c,0
7850c72e,1
78a4a386,0
79507629,1
796dbd4c,2
7987f2f2,0
7993a768,2
7a5660b0,3
7acda2df,3
7b2c7b3c,4
7b38844c,2
7bb17b96,1
7c607683,0
7cbbd047,2
7cd4bb31,4
7d50373e,0
7d57c75d,0
7e208414,4
7e721392,1
7ff89f8f,1
8050c789,2
807f0298,1
811f52b3,0
81bf5923,4
81fc01c6,3
8255c867,2
82aab6d2,3
82fcf37c,0
833af382,0
8382f4b6,3
84633df4,4
8478df29,2
84815d5a,2
84c3b497,3
85380836,2
8612b37f,2
861e71df,1
86454a6f,0
8648abae,4
865033f8,2
87695469,1
877ed19c,0
87aa3730,3
884ecb5f,0
8902c3f6,3
