formation,dist_min,dist_max,pairs,semivariance,mean_abs_dip_ft_per_ft
ANCC,0.0,17534.64228722095,37079,54443.61986863723,0.024720714824989314
ANCC,17534.64228722095,28353.002464497273,36777,221618.34510578078,0.024870206199130156
ANCC,28353.002464497273,41027.521532447405,36284,387685.4300930052,0.021736000064870246
ANCC,41027.521532447405,58069.83906809393,36168,614228.386993309,0.019337560581217366
ANCC,58069.83906809393,84319.37521145237,36846,502797.85575247376,0.011747026271556351
ANCC,84319.37521145237,110654.44778343316,36995,415878.20928030676,0.007662589442515677
ANCC,110654.44778343316,131473.05853313286,36837,417496.2129221815,0.006251282945599969
ANCC,131473.05853313286,186423.90138598238,36009,528890.575532081,0.0057576864496840545
ASTNU,0.0,17534.64228722095,37298,56527.848273339056,0.025175119250987178
ASTNU,17534.64228722095,28353.002464497273,37297,229351.98006734456,0.025299267378275057
ASTNU,28353.002464497273,41027.521532447405,37297,404190.8761682065,0.022299946030257967
ASTNU,41027.521532447405,58069.83906809393,37297,657585.3593247461,0.02011240363804216
ASTNU,58069.83906809393,84319.37521145237,37297,521078.17505017965,0.012011818885262688
ASTNU,84319.37521145237,110654.44778343316,37296,413234.47185161413,0.007633763554372918
ASTNU,110654.44778343316,131473.05853313286,37298,407926.1121685104,0.006140676869253714
ASTNU,131473.05853313286,186423.90138598238,37298,508340.17302034295,0.005648259635356328
ASTNL,0.0,17534.64228722095,37298,54503.63858533298,0.02473664872161946
ASTNL,17534.64228722095,28353.002464497273,37297,218330.72396292462,0.024683191039219197
ASTNL,28353.002464497273,41027.521532447405,37297,381710.4997638711,0.02164317741304907
ASTNL,41027.521532447405,58069.83906809393,37297,619618.7670401132,0.01950153496481142
ASTNL,58069.83906809393,84319.37521145237,37297,492701.8286559777,0.01166155178199352
ASTNL,84319.37521145237,110654.44778343316,37296,394095.39261131885,0.007447166926128453
ASTNL,110654.44778343316,131473.05853313286,37298,390714.24260892,0.0060235255163007834
ASTNL,131473.05853313286,186423.90138598238,37298,497321.9576271033,0.0055955226408592644
EGFDU,0.0,17534.64228722095,37298,51626.075306807325,0.024114883060896875
EGFDU,17534.64228722095,28353.002464497273,37297,208051.9468598761,0.02401175532304864
EGFDU,28353.002464497273,41027.521532447405,37297,359461.401415178,0.020951991322428205
EGFDU,41027.521532447405,58069.83906809393,37297,582284.4588758572,0.0188977754458049
EGFDU,58069.83906809393,84319.37521145237,37297,480474.72968141804,0.011521156302141693
EGFDU,84319.37521145237,110654.44778343316,37296,396913.1494768044,0.007480749362145443
EGFDU,110654.44778343316,131473.05853313286,37298,393730.19699806283,0.006079588900918098
EGFDU,131473.05853313286,186423.90138598238,37298,524482.011787778,0.005765309203336777
EGFDL,0.0,17534.64228722095,37213,51160.884140477785,0.024027860991550177
EGFDL,17534.64228722095,28353.002464497273,37162,205882.97138586052,0.023883762687320922
EGFDL,28353.002464497273,41027.521532447405,37088,355802.0700555853,0.020851141473422558
EGFDL,41027.521532447405,58069.83906809393,37213,577861.2348706163,0.018819929559298853
EGFDL,58069.83906809393,84319.37521145237,37248,478780.51443213725,0.011499821393923552
EGFDL,84319.37521145237,110654.44778343316,37151,396311.06767354306,0.007485336134755907
EGFDL,110654.44778343316,131473.05853313286,37241,395079.55824275926,0.006098086450209431
EGFDL,131473.05853313286,186423.90138598238,37290,534536.5027280222,0.005825374843721359
BUDA,0.0,17534.64228722095,37298,53713.160799383346,0.02456814876625162
BUDA,17534.64228722095,28353.002464497273,37297,218016.30470279913,0.024599045816591256
BUDA,28353.002464497273,41027.521532447405,37297,377689.77418131486,0.021498291565384967
BUDA,41027.521532447405,58069.83906809393,37297,613580.9867181195,0.019390121978715754
BUDA,58069.83906809393,84319.37521145237,37297,503487.7246203086,0.011789183161313454
BUDA,84319.37521145237,110654.44778343316,37296,412074.9859315409,0.007615051258613941
BUDA,110654.44778343316,131473.05853313286,37298,411444.28605399886,0.006205935822299558
BUDA,131473.05853313286,186423.90138598238,37298,548741.8382764613,0.005886422155701675
