well_id,segment,rows,gr_missing_rows,gr_missing_rate
000d7d20,full,5278,2258,0.4278135657446002
000d7d20,prefix,1442,442,0.3065187239944521
000d7d20,post_ps,3836,1816,0.47340980187695514
000d7d20,prefix_last512,512,329,0.642578125
000d7d20,post_first512,512,290,0.56640625
000d7d20,post_last512,512,192,0.375
000d7d20,lateral_prefix,699,379,0.542203147353362
00bbac68,full,7559,942,0.12461965868501125
00bbac68,prefix,1545,110,0.07119741100323625
00bbac68,post_ps,6014,832,0.13834386431659462
00bbac68,prefix_last512,512,56,0.109375
00bbac68,post_first512,512,76,0.1484375
00bbac68,post_last512,512,51,0.099609375
00bbac68,lateral_prefix,378,46,0.12169312169312169
00e12e8b,full,6384,584,0.09147869674185463
00e12e8b,prefix,2083,166,0.07969275084013443
00e12e8b,post_ps,4301,418,0.09718670076726342
00e12e8b,prefix_last512,512,41,0.080078125
00e12e8b,post_first512,512,46,0.08984375
00e12e8b,post_last512,512,58,0.11328125
00e12e8b,lateral_prefix,706,58,0.0821529745042493
015fe0d2,full,5950,1513,0.2542857142857143
015fe0d2,prefix,1654,137,0.08282950423216445
015fe0d2,post_ps,4296,1376,0.3202979515828678
015fe0d2,prefix_last512,512,65,0.126953125
015fe0d2,post_first512,512,155,0.302734375
015fe0d2,post_last512,512,155,0.302734375
015fe0d2,lateral_prefix,791,102,0.12895069532237674
01869cd4,full,6850,3268,0.4770802919708029
01869cd4,prefix,1293,427,0.33023975251353443
01869cd4,post_ps,5557,2841,0.5112470757603024
01869cd4,prefix_last512,512,215,0.419921875
01869cd4,post_first512,512,261,0.509765625
01869cd4,post_last512,512,230,0.44921875
01869cd4,lateral_prefix,612,253,0.4133986928104575
01982c1d,full,5587,846,0.15142294612493287
01982c1d,prefix,1646,223,0.13547995139732685
01982c1d,post_ps,3941,623,0.15808170515097691
01982c1d,prefix_last512,512,109,0.212890625
01982c1d,post_first512,512,99,0.193359375
01982c1d,post_last512,512,64,0.125
01982c1d,lateral_prefix,699,142,0.20314735336194564
028d7b28,full,7761,1691,0.21788429326117767
028d7b28,prefix,1527,238,0.1558611656843484
028d7b28,post_ps,6234,1453,0.23307667629130574
028d7b28,prefix_last512,512,95,0.185546875
028d7b28,post_first512,512,121,0.236328125
028d7b28,post_last512,512,105,0.205078125
028d7b28,lateral_prefix,655,125,0.19083969465648856
02e7fe5a,full,6888,3994,0.579849012775842
02e7fe5a,prefix,1780,742,0.41685393258426967
02e7fe5a,post_ps,5108,3252,0.6366483946750195
02e7fe5a,prefix_last512,512,357,0.697265625
