well_id,fold
000d7d20,0
00bbac68,3
00e12e8b,4
015fe0d2,0
01869cd4,1
01982c1d,1
028d7b28,4
02e7fe5a,0
0390d174,0
03a935ae,0
044af7d1,4
0498acab,1
052d64df,4
05948241,4
059c8f24,3
05a0ee4d,4
060ab2b8,2
06df5958,1
071d7b45,1
0849b4e2,4
084d66f9,0
08fecf00,3
09053135,2
09441b8d,3
0955cd6c,0
09ec2ca9,3
0a57a29c,0
0bbf5e67,4
0be01c24,2
0c1b160c,0
0d99f8e4,4
0dc5e64d,1
0dc835f3,1
0dd99dc5,4
0e5e560d,0
109d9d70,2
10a1281a,2
10b89021,0
10be2420,2
113011eb,1
1131525f,1
11d0f5ac,0
12203f2a,0
122bd617,4
125be846,1
1285a37b,2
1295a25b,1
12f0cd90,2
137d1e44,0
13ce113d,2
13f598d9,4
14a53cb3,0
14ab73fb,4
14ad5efb,4
14fee784,2
153552f5,2
1550491d,2
155887bb,3
1590af81,1
15e154a1,1
1619e2ca,4
16e4a047,0
173ed841,1
1770d7c6,1
177622d7,4
18d24f7b,2
19137a89,4
1944513c,0
197f8a5a,0
19871e7f,3
198a5607,3
19fb4f7b,1
1a518997,2
1a68190b,4
1a730ac2,2
1aaf1da0,0
1b08ed48,4
1b1c5372,0
1b1eba53,0
1b6ba517,0
1b82b665,0
1bcb2fcf,1
1beca81d,1
1d3fbf02,1
1d78281a,0
1e30dedf,2
1e5e3573,0
1f9afacb,1
1fdbba44,1
1fee2b62,0
20096916,1
200d233d,1
201661b5,1
203721ab,1
20402d71,0
2043abc5,4
204cc64b,3
206b6193,0
2075c696,3
22c5f93f,1
230eaaa3,2
2364716c,2
23b9beb0,4
24d8997e,3
25050f63,2
25939962,1
25fd32b3,2
261785ee,4
264feceb,0
26623a50,2
26d3a96a,1
272abef3,4
27300fd5,3
276b012a,4
27c3155b,0
27ebb9b9,1
283269ac,1
28473855,0
28f4eda9,3
29b24409,2
29de15c8,0
2ab29395,0
2ac7cb6b,1
2acc78d4,1
2b034622,1
2b06ad65,0
2b547943,3
2be5c96a,2
2bff06cf,1
2c0c4a4e,2
2cee0cba,4
2d0c268a,4
2d179ded,2
2d196986,3
2d2d0c6b,4
2d35f86d,2
2d9f6cb9,2
2ddad940,3
2e29e833,2
2e43c2ea,2
2e63d9de,1
2ee0235b,4
2f19d536,1
2f8e53c3,0
2fa01aa6,4
2fd68f7b,2
2fe023be,2
30d75030,0
310c71a5,3
32fe84c9,3
33c40295,2
